摘要
[样品信息]
类型:,测定数据
数据集名:,RawData
样品名称
样品ID
选项
分析者
创建日期和时间:,2025/12/27 16:01:27
注释
参数文件名:,ZBB-SNN-200-500.vspm
报告文件名
[软件信息]
软件名称:,LabSolutions UV-Vis
版本:,1.14
[仪器信息]
仪器名称:,UV2600
仪器类型:,UV-2600 系列
型号(S/N):,UV2600 (A12596132769)

测定参数
[测定]
开始(nm):,500 nm
结束(nm):,200 nm
数据间隔(nm):,0.2
扫描速度:,中速
光度值类型:,吸收值
[附件]
附件:,无
[高级设置]
狭缝宽度:,2.0
检测器单元:,直接
光源转换波长:,323
S/R切换:,标准
阶梯校正:,ON
[重复]
重复测定:,OFF
[后处理]
光谱转换:,OFF
数据处理表:,OFF
打印:,OFF

波长(nm),吸收值
200.0,0.038
200.2,0.039
200.4,0.040
200.6,0.038
200.8,0.037
201.0,0.035
201.2,0.035
201.4,0.035
201.6,0.035
201.8,0.036
202.0,0.038
202.2,0.038
202.4,0.037
202.6,0.038
202.8,0.038
203.0,0.037
203.2,0.035
203.4,0.036
203.6,0.036
203.8,0.035
204.0,0.034
204.2,0.035
204.4,0.035
204.6,0.034
204.8,0.034
205.0,0.034
205.2,0.036
205.4,0.035
205.6,0.034
205.8,0.035
206.0,0.034
206.2,0.032
206.4,0.035
206.6,0.036
206.8,0.037
207.0,0.038
207.2,0.039
207.4,0.036
207.6,0.036
207.8,0.036
208.0,0.035
208.2,0.034
208.4,0.035
208.6,0.035
208.8,0.035
209.0,0.034
209.2,0.035
209.4,0.036
209.6,0.035
209.8,0.036
210.0,0.038
210.2,0.039
210.4,0.039
210.6,0.039
210.8,0.037
211.0,0.037
211.2,0.035
211.4,0.034
211.6,0.034
211.8,0.035
212.0,0.035
212.2,0.036
212.4,0.037
212.6,0.038
212.8,0.037
213.0,0.038
213.2,0.037
213.4,0.037
213.6,0.037
213.8,0.038
214.0,0.040
214.2,0.040
214.4,0.041
214.6,0.042
214.8,0.042
215.0,0.043
215.2,0.044
215.4,0.043
215.6,0.044
215.8,0.046
216.0,0.045
216.2,0.046
216.4,0.047
216.6,0.048
216.8,0.048
217.0,0.049
217.2,0.049
217.4,0.051
217.6,0.052
217.8,0.052
218.0,0.052
218.2,0.054
218.4,0.054
218.6,0.053
218.8,0.053
219.0,0.054
219.2,0.053
219.4,0.053
219.6,0.053
219.8,0.054
220.0,0.054
220.2,0.054
220.4,0.054
220.6,0.054
220.8,0.054
221.0,0.054
221.2,0.054
221.4,0.053
221.6,0.053
221.8,0.053
222.0,0.052
222.2,0.052
222.4,0.052
222.6,0.052
222.8,0.052
223.0,0.051
223.2,0.051
223.4,0.051
223.6,0.050
223.8,0.050
224.0,0.050
224.2,0.050
224.4,0.049
224.6,0.049
224.8,0.049
225.0,0.048
225.2,0.048
225.4,0.048
225.6,0.048
225.8,0.048
226.0,0.048
226.2,0.047
226.4,0.047
226.6,0.047
226.8,0.047
227.0,0.046
227.2,0.046
227.4,0.045
227.6,0.045
227.8,0.045
228.0,0.045
228.2,0.044
228.4,0.044
228.6,0.043
228.8,0.043
229.0,0.043
229.2,0.042
229.4,0.042
229.6,0.041
229.8,0.041
230.0,0.040
230.2,0.040
230.4,0.040
230.6,0.039
230.8,0.039
231.0,0.038
231.2,0.038
231.4,0.037
231.6,0.037
231.8,0.036
232.0,0.036
232.2,0.036
232.4,0.035
232.6,0.035
232.8,0.035
233.0,0.034
233.2,0.034
233.4,0.034
233.6,0.034
233.8,0.034
234.0,0.033
234.2,0.033
234.4,0.033
234.6,0.033
234.8,0.033
235.0,0.033
235.2,0.033
235.4,0.033
235.6,0.033
235.8,0.033
236.0,0.033
236.2,0.033
236.4,0.033
236.6,0.033
236.8,0.033
237.0,0.033
237.2,0.033
237.4,0.033
237.6,0.033
237.8,0.033
238.0,0.033
238.2,0.033
238.4,0.033
238.6,0.033
238.8,0.033
239.0,0.033
239.2,0.033
239.4,0.033
239.6,0.033
239.8,0.033
240.0,0.033
240.2,0.033
240.4,0.033
240.6,0.033
240.8,0.033
241.0,0.033
241.2,0.033
241.4,0.033
241.6,0.033
241.8,0.033
242.0,0.033
242.2,0.033
242.4,0.034
242.6,0.034
242.8,0.034
243.0,0.034
243.2,0.034
243.4,0.034
243.6,0.034
243.8,0.034
244.0,0.034
244.2,0.034
244.4,0.034
244.6,0.034
244.8,0.034
245.0,0.034
245.2,0.035
245.4,0.035
245.6,0.035
245.8,0.035
246.0,0.035
246.2,0.035
246.4,0.035
246.6,0.035
246.8,0.035
247.0,0.036
247.2,0.036
247.4,0.036
247.6,0.036
247.8,0.036
248.0,0.036
248.2,0.037
248.4,0.037
248.6,0.037
248.8,0.037
249.0,0.037
249.2,0.037
249.4,0.038
249.6,0.038
249.8,0.038
250.0,0.038
250.2,0.038
250.4,0.039
250.6,0.039
250.8,0.039
251.0,0.039
251.2,0.039
251.4,0.039
251.6,0.040
251.8,0.040
252.0,0.040
252.2,0.040
252.4,0.040
252.6,0.041
252.8,0.041
253.0,0.041
253.2,0.041
253.4,0.042
253.6,0.042
253.8,0.042
254.0,0.042
254.2,0.042
254.4,0.043
254.6,0.043
254.8,0.043
255.0,0.043
255.2,0.043
255.4,0.044
255.6,0.044
255.8,0.044
256.0,0.044
256.2,0.045
256.4,0.045
256.6,0.045
256.8,0.045
257.0,0.045
257.2,0.046
257.4,0.046
257.6,0.046
257.8,0.046
258.0,0.047
258.2,0.047
258.4,0.047
258.6,0.047
258.8,0.047
259.0,0.048
259.2,0.048
259.4,0.048
259.6,0.048
259.8,0.048
260.0,0.049
260.2,0.049
260.4,0.049
260.6,0.049
260.8,0.049
261.0,0.050
261.2,0.050
261.4,0.050
261.6,0.050
261.8,0.050
262.0,0.050
262.2,0.051
262.4,0.051
262.6,0.051
262.8,0.051
263.0,0.051
263.2,0.051
263.4,0.051
263.6,0.052
263.8,0.052
264.0,0.052
264.2,0.052
264.4,0.052
264.6,0.052
264.8,0.052
265.0,0.052
265.2,0.052
265.4,0.053
265.6,0.053
265.8,0.053
266.0,0.053
266.2,0.053
266.4,0.053
266.6,0.053
266.8,0.053
267.0,0.053
267.2,0.053
267.4,0.053
267.6,0.053
267.8,0.053
268.0,0.053
268.2,0.053
268.4,0.053
268.6,0.053
268.8,0.053
269.0,0.054
269.2,0.054
269.4,0.054
269.6,0.054
269.8,0.054
270.0,0.053
270.2,0.053
270.4,0.053
270.6,0.053
270.8,0.053
271.0,0.053
271.2,0.053
271.4,0.053
271.6,0.053
271.8,0.053
272.0,0.053
272.2,0.053
272.4,0.053
272.6,0.053
272.8,0.053
273.0,0.053
273.2,0.053
273.4,0.052
273.6,0.052
273.8,0.052
274.0,0.052
274.2,0.052
274.4,0.052
274.6,0.052
274.8,0.052
275.0,0.052
275.2,0.051
275.4,0.051
275.6,0.051
275.8,0.051
276.0,0.051
276.2,0.051
276.4,0.051
276.6,0.050
276.8,0.050
277.0,0.050
277.2,0.050
277.4,0.050
277.6,0.050
277.8,0.049
278.0,0.049
278.2,0.049
278.4,0.049
278.6,0.049
278.8,0.048
279.0,0.048
279.2,0.048
279.4,0.048
279.6,0.047
279.8,0.047
280.0,0.047
280.2,0.047
280.4,0.047
280.6,0.046
280.8,0.046
281.0,0.046
281.2,0.046
281.4,0.045
281.6,0.045
