摘要
[样品信息]
类型:,测定数据
数据集名:,RawData
样品名称
样品ID
选项
分析者
创建日期和时间:,2025/12/27 15:17:17
注释
参数文件名:,ZBB-SNN-200-500.vspm
报告文件名
[软件信息]
软件名称:,LabSolutions UV-Vis
版本:,1.14
[仪器信息]
仪器名称:,UV2600
仪器类型:,UV-2600 系列
型号(S/N):,UV2600 (A12596132769)

测定参数
[测定]
开始(nm):,500 nm
结束(nm):,200 nm
数据间隔(nm):,0.2
扫描速度:,中速
光度值类型:,吸收值
[附件]
附件:,无
[高级设置]
狭缝宽度:,2.0
检测器单元:,直接
光源转换波长:,323
S/R切换:,标准
阶梯校正:,ON
[重复]
重复测定:,OFF
[后处理]
光谱转换:,OFF
数据处理表:,OFF
打印:,OFF

波长(nm),吸收值
200.0,0.045
200.2,0.045
200.4,0.045
200.6,0.046
200.8,0.043
201.0,0.041
201.2,0.042
201.4,0.042
201.6,0.041
201.8,0.041
202.0,0.042
202.2,0.041
202.4,0.039
202.6,0.040
202.8,0.042
203.0,0.043
203.2,0.042
203.4,0.043
203.6,0.043
203.8,0.043
204.0,0.042
204.2,0.042
204.4,0.043
204.6,0.044
204.8,0.043
205.0,0.043
205.2,0.044
205.4,0.045
205.6,0.044
205.8,0.043
206.0,0.043
206.2,0.042
206.4,0.043
206.6,0.044
206.8,0.045
207.0,0.046
207.2,0.047
207.4,0.045
207.6,0.043
207.8,0.045
208.0,0.044
208.2,0.043
208.4,0.044
208.6,0.044
208.8,0.043
209.0,0.043
209.2,0.044
209.4,0.044
209.6,0.044
209.8,0.044
210.0,0.045
210.2,0.045
210.4,0.046
210.6,0.045
210.8,0.044
211.0,0.043
211.2,0.043
211.4,0.041
211.6,0.043
211.8,0.043
212.0,0.044
212.2,0.045
212.4,0.045
212.6,0.045
212.8,0.045
213.0,0.045
213.2,0.045
213.4,0.046
213.6,0.046
213.8,0.048
214.0,0.049
214.2,0.049
214.4,0.049
214.6,0.049
214.8,0.049
215.0,0.050
215.2,0.051
215.4,0.051
215.6,0.052
215.8,0.053
216.0,0.053
216.2,0.054
216.4,0.056
216.6,0.058
216.8,0.059
217.0,0.060
217.2,0.062
217.4,0.063
217.6,0.063
217.8,0.064
218.0,0.064
218.2,0.065
218.4,0.065
218.6,0.065
218.8,0.065
219.0,0.067
219.2,0.066
219.4,0.068
219.6,0.067
219.8,0.067
220.0,0.067
220.2,0.067
220.4,0.067
220.6,0.067
220.8,0.067
221.0,0.067
221.2,0.067
221.4,0.066
221.6,0.066
221.8,0.066
222.0,0.066
222.2,0.066
222.4,0.066
222.6,0.065
222.8,0.065
223.0,0.064
223.2,0.064
223.4,0.063
223.6,0.063
223.8,0.063
224.0,0.062
224.2,0.062
224.4,0.062
224.6,0.061
224.8,0.061
225.0,0.060
225.2,0.060
225.4,0.060
225.6,0.060
225.8,0.060
226.0,0.060
226.2,0.059
226.4,0.059
226.6,0.059
226.8,0.058
227.0,0.058
227.2,0.058
227.4,0.057
227.6,0.057
227.8,0.056
228.0,0.056
228.2,0.056
228.4,0.055
228.6,0.055
228.8,0.054
229.0,0.054
229.2,0.053
229.4,0.052
229.6,0.052
229.8,0.051
230.0,0.050
230.2,0.050
230.4,0.049
230.6,0.049
230.8,0.048
231.0,0.048
231.2,0.047
231.4,0.046
231.6,0.046
231.8,0.046
232.0,0.045
232.2,0.045
232.4,0.044
232.6,0.044
232.8,0.044
233.0,0.043
233.2,0.043
233.4,0.043
233.6,0.042
233.8,0.042
234.0,0.042
234.2,0.042
234.4,0.042
234.6,0.041
234.8,0.041
235.0,0.041
235.2,0.041
235.4,0.041
235.6,0.041
235.8,0.041
236.0,0.041
236.2,0.041
236.4,0.041
236.6,0.041
236.8,0.041
237.0,0.040
237.2,0.040
237.4,0.040
237.6,0.040
237.8,0.040
238.0,0.040
238.2,0.040
238.4,0.040
238.6,0.040
238.8,0.040
239.0,0.040
239.2,0.040
239.4,0.040
239.6,0.040
239.8,0.040
240.0,0.040
240.2,0.040
240.4,0.040
240.6,0.040
240.8,0.040
241.0,0.040
241.2,0.040
241.4,0.040
241.6,0.040
241.8,0.040
242.0,0.040
242.2,0.040
242.4,0.040
242.6,0.040
242.8,0.040
243.0,0.040
243.2,0.040
243.4,0.040
243.6,0.040
243.8,0.040
244.0,0.040
244.2,0.040
244.4,0.040
244.6,0.040
244.8,0.040
245.0,0.040
245.2,0.041
245.4,0.041
245.6,0.041
245.8,0.041
246.0,0.041
246.2,0.041
246.4,0.041
246.6,0.041
246.8,0.041
247.0,0.042
247.2,0.042
247.4,0.042
247.6,0.042
247.8,0.042
248.0,0.042
248.2,0.043
248.4,0.043
248.6,0.043
248.8,0.043
249.0,0.043
249.2,0.044
249.4,0.044
249.6,0.044
249.8,0.044
250.0,0.044
250.2,0.045
250.4,0.045
250.6,0.045
250.8,0.045
251.0,0.045
251.2,0.046
251.4,0.046
251.6,0.046
251.8,0.046
252.0,0.046
252.2,0.047
252.4,0.047
252.6,0.047
252.8,0.047
253.0,0.048
253.2,0.048
253.4,0.048
253.6,0.048
253.8,0.049
254.0,0.049
254.2,0.049
254.4,0.049
254.6,0.050
254.8,0.050
255.0,0.050
255.2,0.050
255.4,0.051
255.6,0.051
255.8,0.051
256.0,0.051
256.2,0.052
256.4,0.052
256.6,0.052
256.8,0.052
257.0,0.053
257.2,0.053
257.4,0.053
257.6,0.053
257.8,0.054
258.0,0.054
258.2,0.054
258.4,0.054
258.6,0.054
258.8,0.055
259.0,0.055
259.2,0.055
259.4,0.055
259.6,0.056
259.8,0.056
260.0,0.056
260.2,0.056
260.4,0.056
260.6,0.057
260.8,0.057
261.0,0.057
261.2,0.057
261.4,0.057
261.6,0.058
261.8,0.058
262.0,0.058
262.2,0.058
262.4,0.058
262.6,0.059
262.8,0.059
263.0,0.059
263.2,0.059
263.4,0.059
263.6,0.059
263.8,0.059
264.0,0.060
264.2,0.060
264.4,0.060
264.6,0.060
264.8,0.060
265.0,0.060
265.2,0.060
265.4,0.060
265.6,0.060
265.8,0.061
266.0,0.061
266.2,0.061
266.4,0.061
266.6,0.061
266.8,0.061
267.0,0.061
267.2,0.061
267.4,0.061
267.6,0.061
267.8,0.061
268.0,0.061
268.2,0.061
268.4,0.061
268.6,0.061
268.8,0.061
269.0,0.061
269.2,0.061
269.4,0.061
269.6,0.061
269.8,0.061
270.0,0.061
270.2,0.061
270.4,0.061
270.6,0.061
270.8,0.061
271.0,0.061
271.2,0.061
271.4,0.061
271.6,0.061
271.8,0.061
272.0,0.061
272.2,0.061
272.4,0.061
272.6,0.061
272.8,0.061
273.0,0.060
273.2,0.060
273.4,0.060
273.6,0.060
273.8,0.060
274.0,0.060
274.2,0.060
274.4,0.059
274.6,0.059
274.8,0.059
275.0,0.059
275.2,0.059
275.4,0.059
275.6,0.059
275.8,0.058
276.0,0.058
276.2,0.058
276.4,0.058
276.6,0.058
276.8,0.058
277.0,0.057
277.2,0.057
277.4,0.057
277.6,0.057
277.8,0.056
278.0,0.056
278.2,0.056
278.4,0.056
278.6,0.056
278.8,0.055
279.0,0.055
279.2,0.055
279.4,0.055
279.6,0.054
279.8,0.054
280.0,0.054
280.2,0.054
280.4,0.053
280.6,0.053
280.8,0.053
281.0,0.052
281.2,0.052
281.4,0.052
281.6,0.052
